match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_competition_id,competition_country_name,competition_competition_name,season_season_id,season_season_name,home_team_home_team_id,home_team_home_team_name,home_team_home_team_gender,home_team_home_team_group,home_team_country_id,home_team_country_name,home_team_managers,away_team_away_team_id,away_team_away_team_name,away_team_away_team_gender,away_team_away_team_group,away_team_country_id,away_team_country_name,away_team_managers,metadata_data_version,metadata_shot_fidelity_version,metadata_xy_fidelity_version,competition_stage_id,competition_stage_name,stadium_id,stadium_name,stadium_country_id,stadium_country_name,referee_id,referee_name,referee_country_id,referee_country_name
3887188,1989-05-03,21:30:00.000,2,1,available,unscheduled,2023-06-18T19:28:39.443883,,12,35,Europe,UEFA Europa League,75,1988/1989,227,Napoli,male,,112,Italy,"[{'id': 1001756, 'name': 'Ottavio Bianchi', 'nickname': None, 'dob': '1943-10-06', 'country': {'id': 112, 'name': 'Italy'}}]",174,VfB Stuttgart,male,,85,Germany,"[{'id': 1003286, 'name': 'Arie Haan', 'nickname': None, 'dob': '1948-11-16', 'country': {'id': 85, 'name': 'Germany'}}]",1.1.0,2,2,26,Final,117450.0,Stadio Diego Armando Maradona,112.0,Italy,1009054.0,Gerasimos Germanakos,88.0,Greece
3750244,1989-04-05,,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,35,Europe,UEFA Europa League,75,1988/1989,227,Napoli,male,,112,Italy,,169,Bayern Munich,male,,85,Germany,,1.1.0,2,2,15,Semi-finals,117450.0,Stadio Diego Armando Maradona,112.0,Italy,1932.0,Michel Vautrot,78.0,France
3750245,1989-03-15,20:30:00.000,3,0,available,scheduled,2023-05-22T16:05:43.468317,2021-06-13T16:17:31.694,9,35,Europe,UEFA Europa League,75,1988/1989,227,Napoli,male,,112,Italy,"[{'id': 1001756, 'name': 'Ottavio Bianchi', 'nickname': None, 'dob': '1943-10-06', 'country': {'id': 112, 'name': 'Italy'}}]",1076,Juventus,male,,112,Italy,"[{'id': 6100, 'name': 'Dino Zoff', 'nickname': None, 'dob': '1942-02-28', 'country': {'id': 112, 'name': 'Italy'}}]",1.1.0,2,2,11,Quarter-finals,117450.0,Stadio Diego Armando Maradona,112.0,Italy,1929.0,Siegfried Kirschen,85.0,Germany
3827767,2022-03-20,16:00:00.000,1,1,available,unscheduled,2022-04-14T17:33:06.627987,,25,1238,India,Indian Super league,108,2021/2022,7289,Hyderabad,male,,105,India,"[{'id': 503, 'name': 'Manuel Márquez Roca', 'nickname': 'Manolo Márquez', 'dob': '1968-09-07', 'country': {'id': 214, 'name': 'Spain'}}]",7283,Kerala Blasters,male,,105,India,"[{'id': 1000614, 'name': 'Ivan Vukomanović', 'nickname': None, 'dob': '1977-06-19', 'country': {'id': 203, 'name': 'Serbia'}}]",1.1.0,2,2,74,Championship - Final,1000400.0,Pandit Jawaharlal Nehru Stadium,105.0,India,1004906.0,Crystal John,105.0,India
3827335,2022-03-15,16:00:00.000,1,1,available,unscheduled,2022-05-17T22:00:48.247246,,24,1238,India,Indian Super league,108,2021/2022,7283,Kerala Blasters,male,,105,India,"[{'id': 1000614, 'name': 'Ivan Vukomanović', 'nickname': None, 'dob': '1977-06-19', 'country': {'id': 203, 'name': 'Serbia'}}]",2021,Jamshedpur,male,,105,India,"[{'id': 1000617, 'name': 'Owen Columba Coyle', 'nickname': None, 'dob': '1966-07-14', 'country': {'id': 201, 'name': 'Scotland'}}]",1.1.0,2,2,158,Play-offs - Semi-Finals,1000401.0,Tilak Maidan Stadium,105.0,India,1004863.0,Harish Kundu,105.0,India
3827336,2022-03-16,16:00:00.000,1,0,available,unscheduled,2022-04-14T17:24:50.569810,,24,1238,India,Indian Super league,108,2021/2022,7282,ATK Mohun Bagan,male,,105,India,"[{'id': 2815, 'name': 'Juan Ferrando Fenol', 'nickname': 'Juan Ferrando', 'dob': '1981-01-02', 'country': {'id': 214, 'name': 'Spain'}}]",7289,Hyderabad,male,,105,India,"[{'id': 503, 'name': 'Manuel Márquez Roca', 'nickname': 'Manolo Márquez', 'dob': '1968-09-07', 'country': {'id': 214, 'name': 'Spain'}}]",1.1.0,2,2,158,Play-offs - Semi-Finals,5810.0,GMC Athletic Stadium,105.0,India,1004922.0,Ramachandran Venkatesh,105.0,India
3827338,2022-03-12,16:00:00.000,3,1,available,unscheduled,2022-12-01T19:56:17.158053,,23,1238,India,Indian Super league,108,2021/2022,7289,Hyderabad,male,,105,India,"[{'id': 503, 'name': 'Manuel Márquez Roca', 'nickname': 'Manolo Márquez', 'dob': '1968-09-07', 'country': {'id': 214, 'name': 'Spain'}}]",7282,ATK Mohun Bagan,male,,105,India,"[{'id': 2815, 'name': 'Juan Ferrando Fenol', 'nickname': 'Juan Ferrando', 'dob': '1981-01-02', 'country': {'id': 214, 'name': 'Spain'}}]",1.1.0,2,2,158,Play-offs - Semi-Finals,5810.0,GMC Athletic Stadium,105.0,India,1004912.0,Raul Gupta,105.0,India
3827337,2022-03-11,16:00:00.000,0,1,available,unscheduled,2022-04-14T17:12:45.886818,,23,1238,India,Indian Super league,108,2021/2022,2021,Jamshedpur,male,,105,India,"[{'id': 1000617, 'name': 'Owen Columba Coyle', 'nickname': None, 'dob': '1966-07-14', 'country': {'id': 201, 'name': 'Scotland'}}]",7283,Kerala Blasters,male,,105,India,"[{'id': 1000614, 'name': 'Ivan Vukomanović', 'nickname': None, 'dob': '1977-06-19', 'country': {'id': 203, 'name': 'Serbia'}}]",1.1.0,2,2,158,Play-offs - Semi-Finals,1000400.0,Pandit Jawaharlal Nehru Stadium,105.0,India,1005422.0,Tejas Nagvenkar,105.0,India
3817856,2022-03-07,16:00:00.000,0,1,available,unscheduled,2022-04-14T17:08:29.868459,,19,1238,India,Indian Super league,108,2021/2022,7282,ATK Mohun Bagan,male,,105,India,"[{'id': 2815, 'name': 'Juan Ferrando Fenol', 'nickname': 'Juan Ferrando', 'dob': '1981-01-02', 'country': {'id': 214, 'name': 'Spain'}}]",2021,Jamshedpur,male,,105,India,"[{'id': 1000617, 'name': 'Owen Columba Coyle', 'nickname': None, 'dob': '1966-07-14', 'country': {'id': 201, 'name': 'Scotland'}}]",1.1.0,2,2,1,Regular Season,1000400.0,Pandit Jawaharlal Nehru Stadium,105.0,India,1004906.0,Crystal John,105.0,India
3817891,2022-03-05,16:00:00.000,0,1,available,unscheduled,2022-04-03T19:32:15.537192,,20,1238,India,Indian Super league,108,2021/2022,7286,East Bengal,male,,105,India,"[{'id': 1000962, 'name': 'Mario Rivera Campesino', 'nickname': 'Mario Rivera', 'dob': '1977-08-13', 'country': {'id': 214, 'name': 'Spain'}}]",7284,Bengaluru,male,,105,India,"[{'id': 1000615, 'name': 'Marco Pezzaiuoli', 'nickname': None, 'dob': '1968-11-16', 'country': {'id': 85, 'name': 'Germany'}}]",1.1.0,2,2,1,Regular Season,1000401.0,Tilak Maidan Stadium,105.0,India,1004958.0,Senthil Nathan,105.0,India
