true_t+1,true_t+2,true_t+3
37119.21858389042,32228.575963652114,26982.938797817627
36232.17709100309,31632.268327725684,25649.48481815422
10498.384216326982,5299.3107453129005,-0.5775795105709963
32012.48055971934,26924.930402536556,21233.765102923884
20644.89800085358,15974.695580883272,10609.232306430784
15143.795392392138,10735.348022430864,5122.721703994249
15337.335890554283,11120.454358623365,5212.870935824546
26729.887866482943,21636.75897723401,15867.631605667208
31831.874073361203,26381.103071682202,21332.787199644357
26597.460300249313,18843.267849872587,15487.951738666323
20691.869669108313,14841.809133944862,10612.841518787802
30486.308840261663,27272.357384911436,21626.6422512381
22773.86462646952,14871.031457659301,10270.964801808976
16122.802141977403,10717.19647944104,5445.385452307978
35698.08871931119,30677.547699445604,26850.719869278753
31694.630741834375,24215.380293600832,21438.854945727202
27456.44392523579,21726.383876690456,16552.023665559955
9810.086396542567,5315.850481971937,-0.8738204386015328
21558.374494782965,15417.117876180488,10324.851279781917
33037.86303728847,24809.85010025045,21552.539628737773
32453.326883043446,25224.668886597177,21623.16559205714
30830.029936654595,25747.799610722046,22049.39123026512
10504.087034078017,4997.397193856152,-0.8034835387706019
10341.621227647578,5027.796263609971,-0.8141543648320396
16254.662769536999,10259.04215403755,5296.933506271155
28971.364157112996,20274.211970603894,15200.890547121622
10903.334626408056,5243.504013762275,-0.3318944802199565
31306.77772568403,26560.19988645373,21716.762216759722
16019.817814295076,9787.427170971043,5172.467635898727
33345.072688921384,27587.36169562119,21472.76370160355
9569.942746003077,5355.676173381635,-0.019151495412134654
27224.02136573861,22316.649699661994,16300.811501408867
26302.745123659468,20290.67763168063,15925.275751885893
21319.604400492954,15593.057266099926,10642.333138985121
15592.281174952579,10963.508115625555,4737.767915555802
10849.265683673688,5310.7352579127955,-0.17081250058790537
30039.3509343599,27310.355836504215,21228.24290144104
25145.36199541161,20202.92633215746,16805.143814863506
24819.729126867114,20798.41915045501,16205.67634462961
16589.044386051643,10527.13085645507,4826.940447105989
20400.81089612305,16073.144017814553,10720.25999039314
19762.91848745993,15229.307852753167,10198.754655379511
15549.2638986532,10311.157290231966,5024.39080701295
30575.998338953807,25383.56941122524,21149.865698470276
38265.16199991042,32642.330773220616,27605.514463272466
38157.50309982752,32855.37472246224,26466.09802056273
37315.56874996707,31976.706219608932,28280.076572397935
20619.228093041474,14991.994766091388,11109.17472438562
38799.42430483935,30961.80172895883,27924.5996560324
10269.545436947006,4718.659344914387,-0.17023976513277822
36045.05080909732,29778.186946346526,27064.15504706346
20126.885913347545,16601.21557405324,10538.551395867977
27647.019798918507,21792.769386360465,15565.00652727018
19937.536809947476,15262.189779717026,9989.571560678713
15416.785644937836,11458.621789606239,5167.668657963104
36762.54669944056,31271.74865283316,25550.55610724768
25035.605103989245,19675.923269051364,16130.809919393827
37759.91252569361,30548.898228032784,25581.39233377828
21071.843198781848,15756.094353877024,9939.691122866881
30633.19388968805,23770.922621047812,21659.282608856553
20883.36219021464,14600.598205152904,10543.695177614032
21051.03440736495,15006.237011105757,10895.958510873286
26585.714864401874,21170.059692188544,15737.475298284578
21327.915751161792,14652.149226856229,11008.598357080591
15711.641630522923,9701.613186620682,5261.061448206425
25273.661211024926,23140.000369441783,16059.590265870647
24950.171232493725,21913.671576078876,14583.484686524715
29724.685709480647,26578.38669061554,19977.045603475894
37110.39712427383,31024.713752569383,26496.714470517723
21989.864911276345,15592.117911445399,10371.046176750953
37184.66573328421,30397.40827829776,26413.862136144493
33427.63319613634,27716.318263584002,19701.511506173676
15822.72770390434,9801.21205500548,5340.394287410967
26368.22197518892,21126.52232621742,16315.25823113801
36405.39195338525,31750.80213090906,24128.824708602504
15888.240167992244,10089.380589857083,5382.354025497829
32175.21494935702,27027.279200054876,20919.150712399955
25603.326613031742,19935.20399218003,15973.3627602502
14545.804303701898,10417.008024253297,5217.36625100435
32392.732482194628,26942.706709409307,21074.877876382747
15667.03090111237,10142.749382197528,5525.886853915006
20063.226060314348,16952.49341702204,10592.926112309795
32207.650743895698,26828.71979397778,22121.382629216525
35464.69289285967,29758.694769428534,27140.00225341624
25515.663873523044,21006.636805037677,15756.53015568131
15437.412974969848,11173.891620882669,5073.54279373094
36191.311629208656,31453.68821861585,25904.87508100533
27048.926668294444,20309.730651479877,14695.510327931686
26847.462047287667,21138.773457364867,16123.240746617503
30124.195421908626,25170.762408862945,20403.67936919523
34493.012803920916,30215.877332269993,28191.157480304875
15201.038874496971,9438.526349917982,4968.602869491652
21021.097197435203,16309.681363933523,10630.234899889523
15418.729653464778,10417.358395143048,5267.036425791915
15725.318730378667,9512.427128548,5462.86329067787
36478.969036671864,29904.68804027998,27050.291339134266
26750.638949286546,20700.31816052913,15036.298173354024
15583.760106723306,10208.571502216195,5288.832362603731
21659.546484297854,15360.60559160839,10053.028493507698
37618.503940329865,30839.541895795715,27278.549887611174
32902.034983939826,27247.20982792763,21292.16326294871
26843.945462040374,20756.760290012677,16367.091019294512
25013.147273999348,19531.44567619476,16760.4793559331
10616.397427845268,5529.2498198072835,-0.6304969263997628
21141.114205244212,15592.339686229565,10438.969099420736
34720.86704812315,32439.759660465865,27418.89884348971
32738.331956491456,26398.125034099765,22648.417893037204
10380.928243993909,5019.8475772715265,-0.6001713668571499
30336.75487419401,26643.704455610918,21695.512923378512
35577.66430425915,33580.953850701764,26214.15428913203
25636.076301425397,19726.009484627633,16382.105111273246
11320.635657939734,4872.602397889146,-0.7915251911774274
34654.95440847867,31699.727500664343,26273.521565377156
15595.543732811782,11355.095640727108,5356.218000449744
32936.35751993506,26507.803503084797,20904.243528961615
35259.815155861026,30937.144206353278,25562.92705308098
15333.00918215478,11606.263955314043,5210.604954509531
27438.242930850647,20389.466168349994,14553.635680182335
31519.405366048417,26475.605301202573,21890.983190144943
32738.578325664468,26690.681192889806,21506.01346591958
26195.506631072752,22106.693545565126,15249.333209828475
32051.475220130582,26413.547317691056,20105.510551428888
21081.388649995242,17431.90583259614,10551.825204318391
10499.846706757298,4933.805722316272,-0.4837822306292984
38671.11874626054,31378.159217324333,25887.573539876023
24744.262790919434,21305.888393580186,16346.750643350433
37932.86471746736,29803.534098309236,26645.83308880426
15583.506389986722,10813.277226214093,5535.725827019061
10934.082207341431,4977.627557149796,3.651630387668031
14739.296999647702,10482.00556556007,5043.2894962151895
20147.859792189825,16387.395930205665,11197.792552792242
32036.835695139667,26012.463446748246,21219.984089966903
14974.992041297222,11262.71605945105,5005.292374249668
11237.753888345385,5254.447645223319,-0.6028335952420788
16372.015085925636,10500.920199640928,5105.14750662744
24031.46226442334,20198.532447556467,15963.661681769676
10884.367034485369,4960.875766344563,1.203182925495604
17190.149301213263,10307.573772487574,5295.760696829481
20561.92953631689,15913.363116829272,10741.932020917326
30483.21371168058,25953.05307425811,21223.444958833512
32434.993873166426,28121.572486781533,21645.00680339967
9881.509404639119,4931.848128168193,-0.6011428641992334
15728.39387434033,10898.568574621358,4934.99756948755
19098.746866725836,15968.383648335302,10193.952783064724
22170.959072902337,15887.552814626173,10508.84522175902
33513.934327186515,26591.313345516297,21583.767054037893
38306.73677215373,31852.740190896147,26904.82995267504
31222.871584342676,28087.360566238873,21173.439320980975
29520.43691834431,26750.03602733826,20077.821270517332
14760.174251392704,10329.401660388183,4771.69433129225
10457.169280405225,5169.242085166358,-0.30613713496996053
28915.518412323247,26875.371870630734,22147.79319349696
10763.97951966519,5743.072805942253,0.5654835987780871
11062.378239218604,5550.5241484249855,-0.7758207820158977
21011.98083752182,15706.245750518436,10506.31897711743
10551.382793755914,5328.409168428623,-0.8894982038569758
25970.937481882804,20155.350928410422,16331.368060118097
26026.611994352563,22442.097855704786,16993.29498386793
10208.606462946136,5244.575584478928,-0.8719221429781625
37774.04144340481,32671.07990151933,24397.78417486018
15982.874279113075,10544.312439689837,5437.703122385593
36421.50482884617,29560.94056595482,26592.201424647774
25503.45909856683,20328.0796613881,15953.438932785706
36284.279421543564,32634.745894814463,27444.14387285972
25573.39792073606,22160.977029134894,16528.183998784323
17021.31027460968,10608.359339082026,5140.3890257406365
29718.033419291358,24346.473105011908,22159.037565688854
10476.032662507176,5527.079362881785,-0.48565830334373256
25951.843779709332,20006.033842878,14667.906784987876
15217.249151403821,10605.450717389096,5117.4694146215
27295.417320781493,21626.2401141671,16516.71022869433
32323.786079777863,25256.290142633497,21926.09614559233
37757.897147057156,31559.720900318658,25797.889911255883
10241.725756782045,5273.330010151966,0.12645424211196443
15272.132280931686,10014.737125624142,5225.777200938435
25844.90035357448,20929.197138593518,15583.760106723306
10200.32449596037,5724.550549040922,-0.7302547553790408
15228.341138649084,9847.119005675733,5294.685408185619
25151.652497326846,20783.244481122398,15142.411904960578
9871.01268949253,5553.498898377789,-0.8240226223805304
38893.585221422465,31185.933424704723,24835.119598217778
20606.164709105542,16136.972375287296,11069.033529944727
38640.745309486214,32056.67195551792,27233.09784853445
36846.315266578895,32969.987412134135,27279.678046586057
10379.153922303009,4926.434029544305,-0.33499193511773595
33710.21392308861,27006.44405140397,21033.964354757903
39065.68298018199,31196.2000395676,26589.091169298554
10581.229693965131,5475.827651785492,-0.47780845903277286
21444.535311425672,16215.623629134878,10111.705836125615
10392.568244668597,4978.254723825946,-0.3262430685323929
37678.77944047905,30865.938893140228,25881.13623092288
10284.891936568796,5358.062535839552,-0.46744873156155975
10395.052164014816,5133.2264404955085,-0.5979160694504051
15227.053285130076,10292.492016641878,5338.457901969838
27817.554986993393,20348.95230035245,15310.70447840335
15001.0128410606,10482.604251458204,5429.770899790615
21981.461096141524,15126.66646804444,10357.223225318416
35791.388708350045,29878.924815431496,25678.084933859183
27824.563282129715,19803.628295563816,15290.87505613761
10197.799661910723,5103.458488657422,2.3476991890686607
22685.397694678308,16268.877598392795,10601.391852835586
27236.14114446827,20924.207067549436,15529.466363561685
26993.098896856245,21459.529203801867,15345.670682202795
28852.52821098393,19951.294958316055,15398.652996891778
16542.126182845084,9877.364897732241,5357.70592836087
20577.94433886749,15858.293727750866,10326.970365524608
37209.22253251527,30622.393635113,26239.350030250065
16755.896311446188,10965.72106404259,5057.3109487031
16019.214807738945,10791.37840971829,5050.8012696579935
24289.880173739664,20143.73915211121,15084.186287051758
26075.474833506592,21654.51908136705,14905.264254397356
9576.387660298424,5363.01123566491,-0.17428484391244928
22143.894164014382,15198.1718866081,10742.931531487358
39307.26876264736,30262.313924051752,25668.528773060403
27023.605583674835,20989.672159632428,16058.21153907162
25828.36187413583,21400.22660732402,15392.093136967942
15800.121906241255,10845.065245760683,5720.133550599763
32614.442173608495,27512.20860609414,22700.016554120026
16347.339140995497,10992.795792604662,5114.91998191329
14478.529141544366,11004.840665492118,4952.706749712413
10585.663037929413,5181.382947737119,-0.01779305208845534
20372.732137850504,15985.10133199666,10165.290588597041
21545.79718514882,14486.025940156182,10234.92681620066
27220.29878571693,21800.585418583516,16793.322972399812
32135.942353374434,26032.05438078456,18923.079765168368
11178.798157936806,5009.243437800668,-0.25383863400606754
21600.30146400995,16237.652203853611,9957.736270132737
11336.710775512292,5553.960446441558,2.1335931975371825
15635.145048689745,10029.585666295883,5135.330487090302
10173.405348063874,5211.6371752785,0.494924684706256
23753.904177952132,20806.523509439005,15234.882042162193
9984.893081806626,5138.665664798504,-0.303805490613639
11009.55835703546,5231.286395129226,-0.7566478291927815
16053.112867876489,9949.864592689075,5205.610882111125
26714.750547579864,21293.066254842746,14813.068683127798
26260.503225793025,20220.67387430104,15090.031859390785
10688.078672423699,5324.880328298388,-0.017395111456739082
20238.66344100577,16143.442699958247,10287.822054890108
24453.03149520769,20996.20386095915,16162.878815648139
21151.357156375754,16386.127396541317,10399.512406711041
16251.510209763155,10942.285875995363,5355.7696263208645
14719.821435175916,10792.67632849031,5081.649410665282
21320.431385814936,14301.434866186106,11008.737385131479
27959.810241779218,20775.900175507486,15933.43137172242
32780.52435968351,25849.488634601905,21035.25786383344
9803.648895691347,5163.451467855101,0.2732962611961926
24746.130635497033,22027.465683820483,16309.878254277886
27114.39091046446,21429.637987252405,16756.956401618347
10730.625873433326,5296.701895432532,-0.7223039606623539
26869.45374739439,20694.61462508981,15493.222830278293
38015.17258424505,31719.31279246319,26408.569226230677
15969.15044531697,9796.299979515663,5727.824858287623
15704.230642608292,10583.486219817229,5044.625244618688
10514.619852576003,5531.052122225143,-0.3240451061091973
14988.00201951418,10661.864354705316,5590.218230195619
10607.78022458031,5141.059831649472,-0.8397762674593118
11082.276214654348,5305.14660047759,-0.17551073671784537
21285.868162434577,15397.944080424395,10281.036283560325
31958.57919809933,25420.028192144222,19841.263936626405
10674.21467560809,5557.285796090447,0.5639832274989146
15862.604078045426,10534.876570823031,5502.714847744653
26229.550094463222,20926.55692115287,15375.102923353707
37803.83137918999,33055.09896210514,25414.00963797352
11009.458884477917,5112.737408029776,-0.01849634915594745
11170.49003268974,5675.206421019504,-0.019198311704028248
21132.268982305523,15943.389771886143,11163.494299643124
38229.13215634311,31146.48406127713,26659.28877658474
10857.2915649647,5517.601718232373,0.5904505235609196
10441.305827548784,5596.528977815691,2.130275002876623
38716.56610930517,33798.265040832,25013.147273999348
21136.389164944776,15937.630366016643,9646.1883178977
10573.854951927131,5160.517323337805,-0.2999949987280141
31615.19498810877,24897.49364089922,19596.1083681105
10960.320250275,5286.802398504875,-0.7954606750583154
39166.355842305515,30737.568270976706,25013.821346701603
26459.05251046854,20108.58583831223,15872.017843520678
21450.148370801682,15678.991258873191,10446.475035642981
33412.95828526889,26043.61981654319,20133.541551997256
35862.72346104229,30510.823625130884,26973.060912224122
31657.63196316729,26789.96916356246,20512.445210210368
10992.440461526903,5325.484877163204,-0.019125856585765353
10251.456993665945,5187.810574174474,-0.7896930116541564
9955.739977779987,4990.437368818651,-0.4699776702417138
30406.83268792897,25856.365728800145,19905.7247210765
30610.384645487095,26686.73614614877,21857.704160627352
15376.404582992023,10433.838542699745,4883.5078634131205
10691.68447899012,5439.383544628161,3.5257200084813345
16887.753788048918,11229.744719428552,5262.321803806208
31894.583696190737,25531.10439811562,20573.376527209144
19719.28321807123,15621.81092252692,10179.264162942525
40319.09249035791,33550.95845745364,27620.478451270326
25985.030819972766,21256.892421774883,15763.472373474931
11265.249888142676,5079.633097348087,-0.6631376707827675
21048.859623284283,16797.87686138089,10886.65706316746
16830.92269785896,11114.129578909196,4929.237706884176
10760.79886070376,4962.161296251606,-0.43650015640174045
37235.98714881907,29770.8039865957,26409.33167760505
28490.220444510425,20255.0001547113,15099.203248247693
11051.24929253938,5108.184954104742,0.12522616321440128
16635.58839305014,10519.6754440422,5104.937395305621
27598.108905445126,20178.772281428523,15977.01655312108
11365.45828808437,5382.099639394808,0.28836152686297184
27728.563596237174,22415.246475898894,15701.80157634496
37273.11568470848,31121.1574547649,26071.68887862424
9994.847562068533,5428.520354155469,-0.017115372080385854
25345.104265157053,20756.969605258746,15994.285180833924
15348.861705075267,10554.54062223436,5401.919692058264
27699.76045863381,22544.90267148686,14183.86962987636
11067.311278909772,5149.09664014057,0.8883831114178435
35896.061293349114,27601.728618320787,27846.37938525682
31690.613232450927,24271.283737482056,21068.69775123927
39511.53564145429,32609.34071225837,26531.660427699408
15562.17256598886,10371.936000033771,5150.333740722094
10568.316844392808,5037.70643092394,-0.7647411087711274
15223.469519637792,10452.886378258432,5115.5524201938215
34063.23751181379,27436.016746035988,20403.307962674553
15064.752387863422,10869.457727318997,5034.648726788147
25628.99656222848,20740.659071209393,16035.581981955946
26997.068492810224,21203.601712393982,15969.292924773188
29196.03211015161,26792.612072417036,20308.790920081556
10042.352742191666,5336.757508472653,-0.7653808224167412
25089.892664355633,20305.37759206862,15911.03632040412
10537.521765265297,5246.673436525962,1.278967772038905
33884.4319218884,29978.66786047161,25498.667179851112
10373.396139786284,5375.404770597479,1.1935041878678518
15265.773434919636,10314.765759963062,5376.849287854262
21417.147470018906,15694.95952945006,10174.668658507879
32127.93058538195,28943.47852264782,21513.814383008565
28184.10821641967,19641.2929275767,15933.316946277753
16367.900056383878,11286.784532832435,5315.045136575624
38298.6374244991,31823.465843762955,24652.843943192805
16009.440663240679,9992.510174994544,5293.9110655450495
10994.728973690937,5453.611967327031,-0.7502804263758719
