Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Khaled Narey,27,Right Winger,Germany,2.0,PAOK Salonika,Super League 1,Greece,Permanent,1.5
Andreas Bruus,23,Right-Back,Denmark,2.0,Troyes,Ligue 1,France,Permanent,1.5
Lucas Vera,25,Central Midfield,Argentina,2.0,Orenburg,Premier Liga,Russia,Permanent,1.5
Moustapha Name,27,Central Midfield,Senegal,2.0,Pafos FC,Protathlima Cyta,Cyprus,Permanent,1.5
Ohi Omoijuanfo,28,Centre-Forward,Norway,2.0,Bröndby IF,Superligaen,Denmark,Permanent,1.35
Ramiro Carrera,29,Right Midfield,Argentina,2.0,CD Cruz Azul,Liga MX Clausura,Mexico,Permanent,1.3
Andrés Andrade,23,Centre-Back,Panama,2.0,Arm. Bielefeld,2. Bundesliga,Germany,Permanent,1.25
Oscar Vilhelmsson,18,Centre-Forward,Sweden,2.0,Darmstadt 98,2. Bundesliga,Germany,Permanent,1.2
Dogucan Haspolat,22,Defensive Midfield,Turkey,2.0,Trabzonspor,Süper Lig,Turkey,Permanent,1.2
Matías Segovia,20,Attacking Midfield,Paraguay,2.0,Botafogo,Série A,Brazil,Permanent,1.2
Krzysztof Kubica,22,Central Midfield,Poland,2.0,Benevento,Serie B,Italy,Permanent,1.2
João Lucas,24,Right-Back,Brazil,2.0,Santos,Série A,Brazil,Permanent,1.1
Srdjan Babic,26,Centre-Back,Serbia,2.0,UD Almería,LaLiga,Spain,Permanent,1.1
Dan Barlaser,26,Central Midfield,England,2.0,Middlesbrough,Championship,England,Permanent,1.03
Gil Dias,26,Right Winger,Portugal,2.0,VfB Stuttgart,Bundesliga,Germany,Permanent,1.0
Genki Haraguchi,31,Attacking Midfield,Japan,2.0,VfB Stuttgart,Bundesliga,Germany,Permanent,1.0
Amer Gojak,25,Attacking Midfield,Bosnia-Herzegovina,2.0,Ferencváros,NB I.,Hungary,Permanent,1.0
Francesco Di Mariano,26,Left Winger,Italy,2.0,Palermo,Serie B,Italy,Permanent,1.0
Pipa,24,Right-Back,Spain,2.0,Olympiacos,Super League 1,Greece,Permanent,1.0
Bruno Gomes,21,Central Midfield,Brazil,2.0,Coritiba FC,Série A,Brazil,Permanent,1.0
Lucas Pérez,34,Centre-Forward,Spain,2.0,Dep. La Coruña,Primera Federación - Gr. I,Spain,Permanent,1.0
Zidan Sertdemir,17,Central Midfield,Denmark,2.0,Nordsjaelland,Superligaen,Denmark,Permanent,1.0
Milan Pavkov,28,Centre-Forward,Serbia,2.0,Al-Fayha,Saudi Pro League,Saudi Arabia,Permanent,1.0
Yanis Hamache,23,Left-Back,Algeria,2.0,SK Dnipro-1,Premier Liga,Ukraine,Permanent,1.0
Eduard Löwen,25,Central Midfield,Germany,2.0,St. Louis CITY,United States,United States,Permanent,1.0
Sergio Santos,27,Centre-Forward,Brazil,2.0,Cincinnati,MLS,United States,Permanent,8.41
András Németh,20,Centre-Forward,Hungary,2.0,Hamburger SV,2. Bundesliga,Germany,Permanent,7.5
Tommaso Milanese,19,Central Midfield,Italy,2.0,Cremonese,Serie A,Italy,Permanent,7.5
Renato Steffen,30,Right Winger,Switzerland,2.0,FC Lugano,Super League,Switzerland,Permanent,7.5
Fernando Sobral,28,Central Midfield,Brazil,2.0,Cuiabá-MT,Série A,Brazil,Permanent,7.5
William Mikelbrencis,18,Right-Back,France,2.0,Hamburger SV,2. Bundesliga,Germany,Permanent,7.0
Hamidou Traore,25,Defensive Midfield,Mali,2.0,Partizan,Super liga Srbije,Serbia,Permanent,7.0
Jean Evrard Kouassi,27,Left Winger,Cote d'Ivoire,2.0,Karagümrük,Süper Lig,Turkey,Loan,0.0
Adam Gnezda Cerin,22,Central Midfield,Slovenia,2.0,Panathinaikos,Super League 1,Greece,Permanent,6.5
Andreas Maxsö,28,Centre-Back,Denmark,2.0,Colorado,MLS,United States,Permanent,6.5
Kanya Fujimoto,23,Attacking Midfield,Japan,2.0,Gil Vicente,Liga Portugal,Portugal,Permanent,6.0
Isidro Pitta,23,Centre-Forward,Paraguay,2.0,Cuiabá-MT,Série A,Brazil,Permanent,6.0
Irfan Can Egribayat,24,Goalkeeper,Turkey,2.0,Fenerbahce,Süper Lig,Turkey,Loan,0.0
László Kleinheisler,28,Attacking Midfield,Hungary,2.0,Panathinaikos,Super League 1,Greece,Permanent,5.0
Nicolò Cambiaghi,21,Left Winger,Italy,2.0,FC Empoli,Serie A,Italy,Loan,0.0
Rodrigo Pinho,31,Centre-Forward,Brazil,2.0,Coritiba FC,Série A,Brazil,Permanent,5.0
Federico Di Francesco,28,Left Winger,Italy,2.0,Lecce,Serie A,Italy,Permanent,5.0
Samuel Umtiti,28,Centre-Back,France,2.0,Lecce,Serie A,Italy,Loan,0.0
Cenk Özkacar,21,Centre-Back,Turkey,2.0,Valencia,LaLiga,Spain,Loan,0.0
Silvije Begic,29,Centre-Back,Croatia,2.0,Ural,Premier Liga,Russia,Permanent,5.0
Mailson,25,Goalkeeper,Brazil,2.0,Al-Taawoun,Saudi Pro League,Saudi Arabia,Permanent,5.0
Aarón Herrera,25,Right-Back,Guatemala,2.0,Montréal,MLS,Canada,Permanent,4.71
Joaquín Torres,25,Right Winger,Argentina,2.0,Philadelphia,MLS,United States,Permanent,4.6
Carlitos,32,Centre-Forward,Spain,2.0,Legia Warszawa,Ekstraklasa,Poland,Permanent,4.0
Alef Manga,28,Left Winger,Brazil,2.0,Coritiba FC,Série A,Brazil,Permanent,4.0
Marrony,23,Right Winger,Brazil,2.0,Fluminense,Série A,Brazil,Loan,0.0
Héber,31,Centre-Forward,Brazil,2.0,Seattle,MLS,United States,Permanent,3.75
Cristian Dájome,29,Left Winger,Colombia,2.0,D.C. United,MLS,United States,Permanent,3.18
Anthony Kalik,24,Attacking Midfield,Australia,2.0,Hajduk Split,SuperSport HNL,Croatia,Permanent,3.0
Isaac Atanga,22,Right Winger,Ghana,2.0,Aalesund,Eliteserien,Norway,Permanent,3.0
Jacob Shaffelburg,22,Left Winger,Canada,2.0,Nashville,MLS,United States,Permanent,3.0
Jacob Shaffelburg,22,Left Winger,Canada,2.0,Nashville,MLS,United States,Loan,0.0
Sebastien Thill,28,Central Midfield,Luxembourg,2.0,Hansa Rostock,2. Bundesliga,Germany,Permanent,2.0
David,27,Left Winger,Brazil,2.0,São Paulo,Série A,Brazil,Loan,0.0
Jorman Campuzano,26,Defensive Midfield,Colombia,2.0,Giresunspor,Süper Lig,Turkey,Loan,0.0
Flávio,26,Central Midfield,Brazil,2.0,Al-Taawoun,Saudi Pro League,Saudi Arabia,Loan,0.0
Paul Nardi,28,Goalkeeper,France,2.0,KAA Gent,Jupiler Pro League,Belgium,Permanent,1.5
Darijan Bojanic,28,Central Midfield,Sweden,2.0,Ulsan Hyundai,K League 1,"Korea, South",Permanent,1.0
Matous Trmal,23,Goalkeeper,Czech Republic,2.0,Marítimo,Liga Portugal,Portugal,Loan,0.0
Florian Flick,22,Defensive Midfield,Germany,2.0,1.FC Nuremberg,2. Bundesliga,Germany,Loan,0.0
Mateo Klimowicz,22,Attacking Midfield,Germany,2.0,Arm. Bielefeld,2. Bundesliga,Germany,Loan,0.0
Mile Svilar,22,Goalkeeper,Serbia,2.0,AS Roma,Serie A,Italy,Free,0.0
Pablo Rodríguez,21,Second Striker,Spain,2.0,Brescia,Serie B,Italy,Loan,0.0
Zeki Amdouni,21,Centre-Forward,Switzerland,2.0,FC Basel,Super League,Switzerland,Loan,0.0
Zuriko Davitashvili,21,Right Winger,Georgia,2.0,G. Bordeaux,Ligue 2,France,Loan,0.0
Jan Vertonghen,35,Centre-Back,Belgium,2.0,RSC Anderlecht,Jupiler Pro League,Belgium,Free,0.0
Pierre Kunde,27,Central Midfield,Cameroon,2.0,VfL Bochum,Bundesliga,Germany,Loan,0.0
Philipp Hofmann,29,Centre-Forward,Germany,2.0,VfL Bochum,Bundesliga,Germany,Free,0.0
Cenk Tosun,31,Centre-Forward,Turkey,2.0,Besiktas,Süper Lig,Turkey,Free,0.0
Eli Dasa,29,Right-Back,Israel,2.0,Dynamo Moscow,Premier Liga,Russia,Free,0.0
Luca Zanimacchia,24,Right Winger,Italy,2.0,Parma,Serie B,Italy,Loan,0.0
Sam Adekugbe,28,Left-Back,Canada,2.0,Galatasaray,Süper Lig,Turkey,Loan,0.0
Fraser Forster,34,Goalkeeper,England,2.0,Tottenham,Premier League,England,Free,0.0
Jakub Swierczok,30,Centre-Forward,Poland,2.0,Zaglebie Lubin,Ekstraklasa,Poland,Unknown,0.0
Denso Kasius,20,Right-Back,Netherlands,2.0,Rapid Vienna,Bundesliga,Austria,Loan,0.0
Salomón Rondón,33,Centre-Forward,Venezuela,2.0,River Plate,Copa de la Liga,Argentina,Free,0.0
Luan,29,Attacking Midfield,Brazil,2.0,Santos,Série A,Brazil,Loan,0.0
Mateusz Zukowski,20,Right-Back,Poland,2.0,Lech Poznan,Ekstraklasa,Poland,Loan,0.0
Denis Dragus,23,Centre-Forward,Romania,2.0,Genoa,Serie B,Italy,Loan,0.0
Ole Selnaes,27,Defensive Midfield,Norway,2.0,FC Zürich,Super League,Switzerland,Free,0.0
Viktor Fischer,28,Left Winger,Denmark,2.0,AIK,Allsvenskan,Sweden,Loan,0.0
Francesco Vicari,27,Centre-Back,Italy,2.0,Bari,Serie B,Italy,Unknown,0.0
Auston Trusty,23,Centre-Back,United States,2.0,Birmingham,Championship,England,Loan,0.0
Tom Edwards,23,Right-Back,England,2.0,Barnsley FC,League One,England,Loan,0.0
Luke Mbete,19,Centre-Back,England,2.0,Bolton,League One,England,Loan,0.0
Salvi Sánchez,31,Right Winger,Spain,2.0,Rayo Vallecano,LaLiga,Spain,Free,0.0
Florian Lejeune,31,Centre-Back,France,2.0,Rayo Vallecano,LaLiga,Spain,Loan,0.0
Moses Usor,20,Right Winger,Nigeria,2.0,LASK,Bundesliga,Austria,Loan,0.0
Robert Zulj,30,Attacking Midfield,Austria,2.0,LASK,Bundesliga,Austria,Free,0.0
Gabriel Suazo,25,Left-Back,Chile,2.0,Toulouse,Ligue 1,France,Free,0.0
Arnaud Souquet,30,Right-Back,France,2.0,Chicago,MLS,United States,Free,0.0
Mamady Diambou,20,Defensive Midfield,Mali,2.0,FC Luzern,Super League,Switzerland,Loan,0.0
Lovre Kalinic,32,Goalkeeper,Croatia,2.0,Hajduk Split,SuperSport HNL,Croatia,Free,0.0
Lazar Markovic,28,Right Winger,Serbia,2.0,Trabzonspor,Süper Lig,Turkey,Loan,0.0
Jens Stryger Larsen,31,Right-Back,Denmark,2.0,Trabzonspor,Süper Lig,Turkey,Free,0.0
Davide Bettella,22,Centre-Back,Italy,2.0,Palermo,Serie B,Italy,Loan,0.0
Álvaro Fernandez,19,Left-Back,Spain,2.0,Preston,Championship,England,Loan,0.0
Philippe Sandler,25,Centre-Back,Netherlands,2.0,NEC Nijmegen,Eredivisie,Netherlands,Free,0.0
Sidnei,32,Centre-Back,Brazil,2.0,UD Las Palmas,LaLiga2,Spain,Free,0.0
Anton Tinnerholm,31,Right-Back,Sweden,2.0,Malmö FF,Allsvenskan,Sweden,Free,0.0
Will Smallbone,22,Central Midfield,Ireland,2.0,Stoke City,Championship,England,Loan,0.0
Tariqe Fosu,26,Left Winger,Ghana,2.0,Stoke City,Championship,England,Loan,0.0
Antoine Bernede,23,Central Midfield,France,2.0,Lausanne-Sport,Challenge League,Switzerland,Loan,0.0
Maximiliano Lovera,23,Left Winger,Argentina,2.0,Ionikos Nikeas,Super League 1,Greece,Loan,0.0
Pedrinho,23,Left Winger,Brazil,2.0,São Paulo,Série A,Brazil,Loan,0.0
Helton Leite,32,Goalkeeper,Brazil,2.0,Antalyaspor,Süper Lig,Turkey,Free,0.0
Emrecan Uzunhan,21,Centre-Back,Turkey,2.0,Antalyaspor,Süper Lig,Turkey,Loan,0.0
Christian Luyindama,28,Centre-Back,DR Congo,2.0,Antalyaspor,Süper Lig,Turkey,Loan,0.0
Sheyi Ojo,25,Right Winger,England,2.0,Cardiff,Championship,Wales,Free,0.0
Mahlon Romeo,26,Right-Back,Antigua and Barbuda,2.0,Cardiff,Championship,Wales,Free,0.0
Andre Gray,31,Centre-Forward,Jamaica,2.0,Aris Saloniki,Super League 1,Greece,Free,0.0
Rafael Camacho,22,Right Winger,Portugal,2.0,Aris Saloniki,Super League 1,Greece,Loan,0.0
Guillermo Varela,29,Right-Back,Uruguay,2.0,Flamengo,Série A,Brazil,Free,0.0
Arturo Vidal,35,Central Midfield,Chile,2.0,Flamengo,Série A,Brazil,Free,0.0
Kike Salas,20,Centre-Back,Spain,2.0,CD Tenerife,LaLiga2,Spain,Loan,0.0
Thomas Delaine,30,Left-Back,France,2.0,R. Strasbourg,Ligue 1,France,Free,0.0
Josh Bowler,23,Right Winger,England,2.0,Olympiacos,Super League 1,Greece,Loan,0.0
Samuel Grandsir,26,Right Winger,France,2.0,Le Havre AC,Ligue 2,France,Free,0.0
Jean-Daniel Akpa Akpro,29,Central Midfield,Cote d'Ivoire,2.0,FC Empoli,Serie A,Italy,Loan,0.0
Eric Remedi,27,Defensive Midfield,Argentina,2.0,Banfield,Copa de la Liga,Argentina,Free,0.0
Milton Giménez,26,Centre-Forward,Argentina,2.0,Banfield,Copa de la Liga,Argentina,Loan,0.0
Gastón Pereiro,27,Attacking Midfield,Uruguay,2.0,Nacional,Torneo Intermedio,Uruguay,Loan,0.0
Germán Conti,28,Centre-Back,Argentina,2.0,Loko Moscow,Premier Liga,Russia,Free,0.0
Robert Renan,19,Centre-Back,Brazil,2.0,Zenit S-Pb,Premier Liga,Russia,Free,0.0
Lucas Mineiro,26,Defensive Midfield,Brazil,2.0,KVC Westerlo,Jupiler Pro League,Belgium,Loan,0.0
Issiaga Sylla,29,Left-Back,Guinea,2.0,Montpellier,Ligue 1,France,Free,0.0
Marc Albrighton,33,Right Midfield,England,2.0,West Brom,Championship,England,Loan,0.0
Pietro Ceccaroni,27,Centre-Back,Italy,2.0,Lecce,Serie A,Italy,Loan,0.0
Gianluca Frabotta,23,Left-Back,Italy,2.0,Lecce,Serie A,Italy,Loan,0.0
Josh Koroma,23,Centre-Forward,England,2.0,Portsmouth,League One,England,Loan,0.0
Benik Afobe,29,Centre-Forward,DR Congo,2.0,Millwall,Championship,England,Unknown,0.0
Jonathan Menéndez,28,Left Winger,Argentina,2.0,Vélez Sarsfield,Liga Profesional,Argentina,Loan,0.0
Andrés Roa,29,Attacking Midfield,Colombia,2.0,Argentinos Jrs.,Liga Profesional,Argentina,Free,0.0
Cauley Woodrow,27,Centre-Forward,England,2.0,Luton,Championship,England,Unknown,0.0
Will Vaulks,28,Defensive Midfield,Wales,2.0,Sheff Wed,League One,England,Free,0.0
Bram Nuytinck,32,Centre-Back,Netherlands,2.0,Sampdoria,Serie A,Italy,Unknown,0.0
Maxime Leverbe,25,Centre-Back,France,2.0,Sampdoria,Serie A,Italy,Loan,0.0
Bruno Amione,20,Centre-Back,Argentina,2.0,Sampdoria,Serie A,Italy,Loan,0.0
Jake Clarke-Salter,24,Centre-Back,England,2.0,QPR,Championship,England,Free,0.0
Rafa Soares,27,Left-Back,Portugal,2.0,PAOK Salonika,Super League 1,Greece,Free,0.0
Papa Ndiaga Yade,22,Left Winger,Senegal,2.0,Troyes,Ligue 1,France,Loan,0.0
Mandela Keita,20,Defensive Midfield,Belgium,2.0,Royal Antwerp,Jupiler Pro League,Belgium,Loan,0.0
Rober González,21,Right Winger,Spain,2.0,Alavés,LaLiga2,Spain,Loan,0.0
Moussa Djitté,23,Centre-Forward,Senegal,2.0,AC Ajaccio,Ligue 1,France,Loan,0.0
Youssouf Koné,27,Left-Back,Mali,2.0,AC Ajaccio,Ligue 1,France,Loan,0.0
Josh Bowler,23,Right Winger,England,2.0,Blackpool,Championship,England,Loan,0.0
Curtis Nelson,29,Centre-Back,England,2.0,Blackpool,Championship,England,Free,0.0
Charlie Patino,18,Central Midfield,England,2.0,Blackpool,Championship,England,Loan,0.0
Ian Poveda,22,Right Winger,England,2.0,Blackpool,Championship,England,Loan,0.0
Tariqe Fosu,27,Left Winger,Ghana,2.0,Rotherham,Championship,England,Loan,0.0
Omar Al-Somah,33,Centre-Forward,Syria,2.0,Al-Arabi SC,Stars League,Qatar,Loan,0.0
Mubarak Wakaso,32,Central Midfield,Ghana,2.0,KAS Eupen,Jupiler Pro League,Belgium,Loan,0.0
Raúl López,29,Right-Back,Mexico,2.0,Santos Laguna,Liga MX Clausura,Mexico,Unknown,0.0
Juan Brunetta,25,Left Winger,Argentina,2.0,Santos Laguna,Liga MX Clausura,Mexico,Loan,0.0
Yahia Fofana,21,Goalkeeper,France,2.0,Angers SCO,Ligue 1,France,Free,0.0
Miha Blazic,29,Centre-Back,Slovenia,2.0,Angers SCO,Ligue 1,France,Free,0.0
Ibrahim Amadou,29,Defensive Midfield,France,2.0,Angers SCO,Ligue 1,France,Free,0.0
Carlos Eduardo,26,Right Winger,Brazil,2.0,Estoril Praia,Liga Portugal,Portugal,Loan,0.0
Carlos Clerc,30,Left-Back,Spain,2.0,Elche CF,LaLiga,Spain,Free,0.0
Luca Zidane,24,Goalkeeper,France,2.0,SD Eibar,LaLiga2,Spain,Free,0.0
Janderson,23,Left Winger,Brazil,2.0,Ceará SC,Série B,Brazil,Loan,0.0
Pablo Galdames,26,Central Midfield,Chile,2.0,Cremonese,Serie A,Italy,Loan,0.0
Paolo Ghiglione,25,Right-Back,Italy,2.0,Cremonese,Serie A,Italy,Unknown,0.0
Josef Bursik,22,Goalkeeper,England,2.0,Club Brugge,Jupiler Pro League,Belgium,Unknown,0.0
Domagoj Pavicic,28,Central Midfield,Croatia,2.0,Konyaspor,Süper Lig,Turkey,Free,0.0
Jordy Caicedo,25,Centre-Forward,Ecuador,2.0,Sivasspor,Süper Lig,Turkey,Loan,0.0
Xavi Quintillà,25,Left-Back,Spain,2.0,Santa Clara,Liga Portugal,Portugal,Free,0.0
Tomás Araújo,20,Centre-Back,Portugal,2.0,Gil Vicente,Liga Portugal,Portugal,Loan,0.0
Ruan,27,Right-Back,Brazil,2.0,D.C. United,MLS,United States,Free,0.0
Mateusz Klich,32,Central Midfield,Poland,2.0,D.C. United,MLS,United States,Free,0.0
José Marsà,20,Centre-Back,Spain,2.0,Sporting Gijón,LaLiga2,Spain,Loan,0.0
Gonzalo Escalante,29,Central Midfield,Argentina,2.0,Cádiz CF,LaLiga,Spain,Loan,0.0
Federico Ricca,27,Centre-Back,Uruguay,2.0,OH Leuven,Jupiler Pro League,Belgium,Free,0.0
Abdulkadir Parmak,27,Central Midfield,Turkey,2.0,Gaziantep FK,Süper Lig,Turkey,Loan,0.0
Filippo Melegoni,23,Central Midfield,Italy,2.0,Standard Liège,Jupiler Pro League,Belgium,Loan,0.0
João Carlos Teixeira,30,Attacking Midfield,Portugal,2.0,SH Shenhua,Super League,China,Free,0.0
Yassine Meriah,29,Centre-Back,Tunisia,2.0,Esperance,Ligue I Pro,Tunisia,Free,0.0
Vicente Iborra,34,Defensive Midfield,Spain,2.0,Levante,LaLiga2,Spain,Loan,0.0
Daniel Maldini,20,Attacking Midfield,Italy,2.0,Spezia Calcio,Serie A,Italy,Loan,0.0
Jérémie Bela,29,Left Winger,Angola,2.0,Clermont Foot,Ligue 1,France,Free,0.0
Marcos Guilherme,27,Left Winger,Brazil,2.0,Khimki,Premier Liga,Russia,Free,0.0
Heitor,22,Right-Back,Brazil,2.0,Mirassol-SP,Série B,Brazil,Loan,0.0
Thuler,23,Centre-Back,Brazil,2.0,Vissel Kobe,J1 League,Japan,Loan,0.0
Maxime Leverbe,25,Centre-Back,France,2.0,Benevento,Serie B,Italy,Loan,0.0
Opa Nguette,28,Left Winger,Senegal,2.0,FC Baniyas,UAE Pro League,United Arab Emirates,Free,0.0
Samir Memisevic,29,Centre-Back,Bosnia-Herzegovina,2.0,Al-Nasr SC,UAE Pro League,United Arab Emirates,Free,0.0
Roberto Torres,33,Attacking Midfield,Spain,2.0,Foolad,Persian Gulf Pro League,Iran,Free,0.0
Jürgen Locadia,28,Centre-Forward,Curacao,2.0,Persepolis,Persian Gulf Pro League,Iran,Free,0.0
Gustavo Maia,22,Left Winger,Brazil,2.0,Valencia B,Segunda Federación - Gr. III,Spain,Loan,0.0
Mikael,23,Centre-Forward,Brazil,2.0,Internacional,Série A,Brazil,Loan,0.0
Bruno Rodrigues,21,Centre-Back,Portugal,2.0,Karagümrük,Süper Lig,Turkey,Loan,0.0
Steven Caulker,30,Centre-Back,Sierra Leone,2.0,Karagümrük,Süper Lig,Turkey,Free,0.0
Fernando González,28,Defensive Midfield,Mexico,2.0,Chivas,Liga MX Clausura,Mexico,Unknown,0.0
Santiago Ormeño,28,Centre-Forward,Peru,2.0,Chivas,Liga MX Clausura,Mexico,Unknown,0.0
Gabriel Poveda,24,Centre-Forward,Brazil,2.0,Bolívar,División Profesional,Bolivia,Loan,0.0
Darko Velkovski,27,Centre-Back,North Macedonia,2.0,Ettifaq FC,Saudi Pro League,Saudi Arabia,Free,0.0
Roberto Massimo,21,Left Winger,Germany,2.0,Académico Viseu,Liga Sabseg,Portugal,Loan,0.0
Santiago Naveda,21,Defensive Midfield,Mexico,2.0,Miedz Legnica,Ekstraklasa,Poland,Loan,0.0
Samuele Mulattieri,21,Centre-Forward,Italy,2.0,Frosinone,Serie B,Italy,Loan,0.0
Gianluca Frabotta,23,Left-Back,Italy,2.0,Frosinone,Serie B,Italy,Loan,0.0
Ali Gholizadeh,26,Right Winger,Iran,2.0,Kasimpasa,Süper Lig,Turkey,Loan,0.0
Pierre Dwomoh,18,Central Midfield,Belgium,2.0,Braga B,League 3 Promotion Round,Portugal,Loan,0.0
Tomás Pochettino,26,Attacking Midfield,Argentina,2.0,Fortaleza,Série A,Brazil,Unknown,0.0
Thiago Galhardo,32,Centre-Forward,Brazil,2.0,Fortaleza,Série A,Brazil,Loan,0.0
Pedro Rocha,27,Left Winger,Brazil,2.0,Fortaleza,Série A,Brazil,Free,0.0
João Carlos Teixeira,29,Attacking Midfield,Portugal,2.0,Umm Salal SC,Stars League,Qatar,Free,0.0
Alexander Callens,30,Centre-Back,Peru,2.0,Girona,LaLiga,Spain,Free,0.0
Rodrigo Riquelme,22,Left Winger,Spain,2.0,Girona,LaLiga,Spain,Loan,0.0
Paulo Gazzaniga,30,Goalkeeper,Argentina,2.0,Girona,LaLiga,Spain,Loan,0.0
Roberto López,22,Attacking Midfield,Spain,2.0,CD Mirandés,LaLiga2,Spain,Loan,0.0
Lucas Cavallini,30,Centre-Forward,Canada,2.0,Club Tijuana,Liga MX Clausura,Mexico,Free,0.0
Heitor,22,Right-Back,Brazil,2.0,Ferroviária,Paulistão A1 - Primeira Fase,Brazil,Loan,0.0
Ryad Boudebouz,32,Attacking Midfield,Algeria,2.0,Al-Ahli,Saudi Arabia,Saudi Arabia,Free,0.0
Fabio Abreu,29,Centre-Forward,Angola,2.0,Khor Fakkan,UAE Pro League,United Arab Emirates,Unknown,0.0
Mehdi Abeid,30,Central Midfield,Algeria,2.0,Khor Fakkan,UAE Pro League,United Arab Emirates,Free,0.0
Darío Sarmiento,19,Right Winger,Argentina,2.0,Mvd City Torque,Primera División Clausura,Uruguay,Loan,0.0
